,X,Y,OBJECTID,ABCDMisc,ADSPermissionState,CalculatedAcres,ContainmentDateTime,ControlDateTime,CreatedOnDateTime,DailyAcres,DiscoveryAcres,DispatchCenterID,FinalFireReportApprovedByTitle,FinalFireReportApprovedByUnit,FinalFireReportApprovedDate,FireBehaviorGeneral,FireBehaviorGeneral1,FireBehaviorGeneral2,FireBehaviorGeneral3,FireCause,FireCauseGeneral,FireCauseSpecific,FireCode,FireDepartmentID,FireDiscoveryDateTime,FireMgmtComplexity,FireOutDateTime,FireStrategyConfinePercent,FireStrategyFullSuppPercent,FireStrategyMonitorPercent,FireStrategyPointZonePercent,FSJobCode,FSOverrideCode,GACC,ICS209ReportDateTime,ICS209ReportForTimePeriodFrom,ICS209ReportForTimePeriodTo,ICS209ReportStatus,IncidentManagementOrganization,IncidentName,IncidentShortDescription,IncidentTypeCategory,IncidentTypeKind,InitialLatitude,InitialLongitude,InitialResponseAcres,InitialResponseDateTime,IrwinID,IsFireCauseInvestigated,IsFireCodeRequested,IsFSAssisted,IsMultiJurisdictional,IsQuarantined,IsReimbursable,IsTrespass,IsUnifiedCommand,IsValid,LocalIncidentIdentifier,ModifiedOnDateTime,PercentContained,PercentPerimeterToBeContained,POOCity,POOCounty,POODispatchCenterID,POOFips,POOJurisdictionalAgency,POOJurisdictionalUnit,POOJurisdictionalUnitParentUnit,POOLandownerCategory,POOLandownerKind,POOLegalDescPrincipalMeridian,POOLegalDescQtr,POOLegalDescQtrQtr,POOLegalDescRange,POOLegalDescSection,POOLegalDescTownship,POOPredictiveServiceAreaID,POOProtectingAgency,POOProtectingUnit,POOState,PredominantFuelGroup,PredominantFuelModel,PrimaryFuelModel,SecondaryFuelModel,TotalIncidentPersonnel,UniqueFireIdentifier,WFDSSDecisionStatus,CreatedBySystem,ModifiedBySystem,CreatedOn,ModifiedOn,IsDispatchComplete,OrganizationalAssessment,StrategicDecisionPublishDate,GlobalID,ModifiedOnDateTime_dt,CreatedOnDateTime_dt
10,-108.6063,39.0238200000001,168068,,DEFAULT,,,,1592098602430,0.1,0.1,COGJC,,,2021/02/08 16:33:23+00,,,,,Unknown,Equipment,Motor Vehicle,M6PJ,,2020/06/13 22:14:00+00,,,,,,,,,RMCC,,,,,,Little Park,,WF,FI,39.02381,-108.6066,,2020/06/13 22:30:00+00,{EE79AE04-E485-41F2-96AD-94B67D73E395},0.0,0,1.0,0.0,0,0.0,0.0,,1,000123,1612826075323,,,,Mesa,COGJC,8077,BLM,COGRD,,BLM,Federal,,,,,,,RM26,BLM,COGRD,US-CO,Grass,GR1,,,,2020-COGRD-000123,No Decision,wildcad,wildcad,,,,,,{39D0876B-21A5-4D01-A3AD-BFAED4FA9982},2021/02/08 23:14:35+00,2020/06/14 01:36:42+00
11,-112.1639,34.34401,180259,,DEFAULT,,,,1596999028937,0.1,0.1,AZPDC,,,,,,,,Unknown,Other Human Cause,,ND7N,,2020/08/09 18:27:59+00,,,,,,,PD,1502.0,SWCC,,,,,,Hackberry Assist,,WF,FI,34.45406,-112.1353,,,{DDBAACD9-2A20-49E6-ABE9-7C97936A7EBC},,0,1.0,1.0,0,1.0,1.0,,1,001562,1612720905610,,,,Yavapai,AZPDC,4025,,,,Private,Private,,,,,,,SW02,BLM,AZPHD,US-AZ,,,,,,2020-AZPHD-001562,No Decision,wildcad,wildcad,,,,,,{1E345ACB-38D9-4F2C-BE17-3133AF15557A},2021/02/07 18:01:45+00,2020/08/09 18:50:28+00
12,-122.70222220000001,42.2005556,188258,,DEFAULT,5716.6344,,,1599594430343,150.0,,OR71C,,,,Minimal,Smoldering,Creeping,Backing,Human,Other Human Cause,,NKS4,,2020/09/08 18:35:00+00,Type 2 Incident,,0.0,100.0,0.0,0.0,,,NWCC,2020/10/14 00:59:59+00,2020/10/13 12:59:59+00,2020/10/14 00:59:59+00,F,Type 2 Team,Almeda Drive,North Ashland I5 MP 19,WF,FI,,,,,{F45088F4-91BE-46E1-9567-164F8ADDB5AF},,0,1.0,0.0,0,0.0,0.0,0.0,1,025921,1611756710503,100.0,100.0,Medford,Jackson,ORRVC,41029,BLM,ORMED,,Private,Private,,,,,,,NW04,DOF,OR711S,US-OR,Grass,GR5,Tall Grass (2.5 feet),Brush (2 feet),31.0,2020-OR711S-025921,No Decision,IROC,INFORM_Inspector,,,,,,{20D0DC30-C4A2-44C8-AAEB-B76B12ABD3F7},2021/01/27 14:11:50+00,2020/09/08 19:47:10+00
14,-116.953433,33.4700550000001,199996,,DEFAULT,,,,1610490827983,,0.1,CARRCC,,,,,,,,Unknown,,,,,2021/01/12 22:33:40+00,,,,,,,,,OSCC,,,,,,LAKE,,WF,FI,33.470055,-116.953433,,,{187D5CB4-B73E-4382-9BEC-05FA5AAA2B62},,0,,,0,,,,1,006414,1612837012520,,,,Riverside,CARRCC,6065,,,,Private,Private,,,,,,,SC11,CDF,CARRU,US-CA,,,,,,2021-CARRU-006414,No Decision,cfcad,cfcad,,,,,,{2439DF9E-AB5B-42D6-8682-F9DA38CBBBF4},2021/02/09 02:16:52+00,2021/01/12 22:33:47+00
15,-105.26799999999999,47.341666700000104,200180,,DEFAULT,,,,1610669163727,3202.0,,MTMCC,,,,Active,Running,Spotting,,Human,Other Human Cause,,,,2021/01/14 00:55:00+00,Type 5 Incident,,0.0,100.0,0.0,0.0,,,NRCC,2021/01/14 21:59:59+00,2021/01/14 00:59:59+00,2021/01/14 21:59:59+00,F,Type 5 IC,Great Divide,"13 miles SE of Circle, MT",WF,FI,,,,,{D8AB1F27-C152-4144-B7AE-B9E656614B5F},,0,,,0,,,0.0,1,000004,1612119560403,100.0,100.0,,Dawson,MTMCC,30021,,,,Private,Private,,,,,,,NR15,C&L,MTLG16,US-MT,,,Short Grass (1 foot),,,2021-MTLG16-000004,No Decision,ics209,INFORM_Inspector,,,,,,{E128847D-F577-466B-BF29-D074A619E2BF},2021/01/31 18:59:20+00,2021/01/15 00:06:03+00
20,-104.1858,46.556000000000004,200881,,DEFAULT,,,,1611349641140,214.6,214.0,MTMCC,,,,,,,,Human,,,,,2021/01/04 20:28:00+00,,,,,,,,,NRCC,,,,,,Wenz - Fallon,,WF,FI,46.556000000000004,-104.1858,,,{60D313FF-2F1B-4367-B7BE-BF24E49FA6CF},,0,0.0,0.0,0,0.0,0.0,,1,000008,1612452347167,,,,Fallon,MTMCC,30025,,,,Private,Private,,,,,,,NR16,C&L,MTLG39,US-MT,,,,,,2021-MTLG39-000008,No Decision,wildcad,wildcad,,,,,,{19DF1CBB-3A13-4A96-A4EB-0B61C3580C57},2021/02/04 15:25:47+00,2021/01/22 21:07:21+00
21,-92.8822221999999,34.5625000000001,201018,,DEFAULT,,,,1611680273013,134.0,,ARAOC,,,,Minimal,,,,Human,,,,,2021/01/15 18:59:59+00,Type 5 Incident,,0.0,100.0,0.0,0.0,,,SACC,2021/01/16 00:30:00+00,2021/01/15 18:59:59+00,2021/01/16 00:30:00+00,F,Type 5 IC,Cedar Creek,"5 miles South of Hot Springs Village, AR",WF,FI,,,,,{5D36D719-09E8-4166-A35B-384167FE931D},,0,,,0,,,0.0,1,0006D5,1611680312840,100.0,100.0,,Garland,ARAOC,5051,,,,Private,Private,,,,,,,SA17B,PRI,ARPRI,US-AR,,,Timber (Grass and Understory),,16.0,2021-ARPRI-0006D5,No Decision,ics209,wfdss,,,,,,{84357581-1393-4AA8-A37E-DE2D714ECAAF},2021/01/26 16:58:32+00,2021/01/26 16:57:53+00
26,-81.265,27.6869444000001,201155,,DEFAULT,,,,1611954226810,3378.0,,FLFIC,,,,Minimal,Creeping,,,Human,,,,,2021/01/26 20:29:59+00,Type 4 Incident,,0.0,0.0,100.0,0.0,,,SACC,2021/01/31 18:59:59+00,2021/01/31 18:00:00+00,2021/01/31 18:59:59+00,F,Type 4 IC,Area 6 North,"East of Avon Park, FL. North central area of Avon Park Air Force Range lands",WF,FI,,,,,{A92932FB-9F0D-47E6-9B25-83B4CA3A1442},,0,,,0,,,0.0,1,210001,1612300056530,100.0,100.0,Avon Park,Polk,FLFIC,12105,,,,DOD,Federal,,,,,,,SA48,USAF,FLAPQ,US-FL,,,Timber (Grass and Understory),Brush (2 feet),13.0,2021-FLAPQ-210001,No Decision,ics209,ics209,,,,,,{C2682F96-FFFF-4DE7-9771-EC1110553774},2021/02/02 21:07:36+00,2021/01/29 21:03:46+00
29,-96.17685999999999,35.56348,201176,,DEFAULT,,,,1612036849877,146.0,1.0,ARAOC,,,,,,,,Human,,,NTQ0,,2021/01/30 03:43:00+00,,,,,,,PA,1522.0,SACC,,,,,,MILE LONG,,WF,FI,35.56355,-96.17685999999999,146.0,,{33336DE0-8B80-4EEC-BAA4-CC75AC0CEF39},,0,1.0,1.0,0,0.0,0.0,,1,000146,1612106403310,,,,Okmulgee,ARAOC,40111,,,,Private,Private,,,,,,,SA17A,BIA,OKOMA,US-OK,,,,,,2021-OKOMA-000146,No Decision,wildcad,wildcad,,,,,,{0CCC56C0-3C5D-418C-9A82-6EFE62180B57},2021/01/31 15:20:03+00,2021/01/30 20:00:49+00
33,-93.9025,29.711759999999998,201274,,DEFAULT,,,,1612216718893,300.0,200.0,TXTIC,,,,Active,,,,Unknown,,,NTS6,,2021/02/01 21:55:00+00,Type 4 Incident,,0.0,100.0,0.0,0.0,,,SACC,2021/02/02 03:14:59+00,2021/02/01 21:45:00+00,2021/02/02 03:14:59+00,I,Type 4 IC,WF South of Cemetery,Southwest of Sabine Pass,WF,FI,29.711759999999998,-93.9025,,,{20E7D245-E1FE-4048-925E-89665A582F0D},,0,0.0,0.0,0,0.0,0.0,0.0,1,000032,1612238013070,0.0,100.0,,Jefferson,TXTIC,48245,FWS,TXTPR,,USFWS,Federal,,,,,,,SA13,FWS,TXTPR,US-TX,,,Tall Grass (2.5 feet),,8.0,2021-TXTPR-000032,No Decision,wildcad,ics209,,,,,,{6CFCDE2B-583D-4ADB-A9F3-4D3E0A48E9DA},2021/02/02 03:53:33+00,2021/02/01 21:58:38+00
