,X,Y,OBJECTID,ABCDMisc,ADSPermissionState,CalculatedAcres,ContainmentDateTime,ControlDateTime,CreatedOnDateTime,DailyAcres,DiscoveryAcres,DispatchCenterID,FinalFireReportApprovedByTitle,FinalFireReportApprovedByUnit,FinalFireReportApprovedDate,FireBehaviorGeneral,FireBehaviorGeneral1,FireBehaviorGeneral2,FireBehaviorGeneral3,FireCause,FireCauseGeneral,FireCauseSpecific,FireCode,FireDepartmentID,FireDiscoveryDateTime,FireMgmtComplexity,FireOutDateTime,FireStrategyConfinePercent,FireStrategyFullSuppPercent,FireStrategyMonitorPercent,FireStrategyPointZonePercent,FSJobCode,FSOverrideCode,GACC,ICS209ReportDateTime,ICS209ReportForTimePeriodFrom,ICS209ReportForTimePeriodTo,ICS209ReportStatus,IncidentManagementOrganization,IncidentName,IncidentShortDescription,IncidentTypeCategory,IncidentTypeKind,InitialLatitude,InitialLongitude,InitialResponseAcres,InitialResponseDateTime,IrwinID,IsFireCauseInvestigated,IsFireCodeRequested,IsFSAssisted,IsMultiJurisdictional,IsQuarantined,IsReimbursable,IsTrespass,IsUnifiedCommand,IsValid,LocalIncidentIdentifier,ModifiedOnDateTime,PercentContained,PercentPerimeterToBeContained,POOCity,POOCounty,POODispatchCenterID,POOFips,POOJurisdictionalAgency,POOJurisdictionalUnit,POOJurisdictionalUnitParentUnit,POOLandownerCategory,POOLandownerKind,POOLegalDescPrincipalMeridian,POOLegalDescQtr,POOLegalDescQtrQtr,POOLegalDescRange,POOLegalDescSection,POOLegalDescTownship,POOPredictiveServiceAreaID,POOProtectingAgency,POOProtectingUnit,POOState,PredominantFuelGroup,PredominantFuelModel,PrimaryFuelModel,SecondaryFuelModel,TotalIncidentPersonnel,UniqueFireIdentifier,WFDSSDecisionStatus,CreatedBySystem,ModifiedBySystem,CreatedOn,ModifiedOn,IsDispatchComplete,OrganizationalAssessment,StrategicDecisionPublishDate,GlobalID,ModifiedOnDateTime_dt,CreatedOnDateTime_dt
4,-87.3207,34.27102,146935,,DEFAULT,,,,1583719980063,16.0,1.0,ALAIC,,,,,,,,Human,,,M0XM,,2020/03/08 21:01:59,,,,,,,P8,801.0,SACC,,,,,,BK Grayson,,WF,FI,34.273559999999996,-87.31954,,,{DFB0F34A-1722-49B1-BB4D-3CA2A483170E},,0,0.0,0.0,0,0.0,0.0,,1,90,1609341605583,,,,Winston,ALAIC,1133,FC,ALALS,,,,,,,,,,SA38,FC,ALALS,US-AL,,,,,,2020-ALALS-000090,No Decision,wildcad,wildcad,,,,,,{5CB20B03-F6D8-450E-8D2C-539E312BF68E},2020/12/30 15:20:05,2020/03/09 02:13:00
9,-117.6764,34.18049,164036,,DEFAULT,,,,1590036546030,1.0,1.0,CAANCC,,,,,,,,Unknown,,Cooking Fire,M4MD,,2020/05/21 01:15:00,,,,,,,,,OSCC,,,,,,SHINN ,,WF,FI,34.18049,-117.6764,,2020/05/21 02:00:59,{427CD91E-37F5-4204-9BAE-D4733347BDD2},1.0,0,0.0,0.0,0,0.0,1.0,,1,1630,1609627287073,,,,Los Angeles,CAANCC,6037,FS,CAANF,,USFS,Federal,,,,,,,SC08,FS,CAANF,US-CA,Grass,GR1,,,,2020-CAANF-001630,No Decision,wildcad,wildcad,,,,,,{7FA6B5B5-7AE1-407D-8D0E-278C4FE44739},2021/01/02 22:41:27,2020/05/21 04:49:06
10,-120.76155,41.063783,175844,,DEFAULT,21622.4862,,,1595274165177,22634.0,0.1,CASIFC,,,,Minimal,Smoldering,Creeping,Single Tree Torching,Unknown,,,NAD6,,2020/07/20 19:18:22,Type 3 Incident,,0.0,100.0,0.0,0.0,,,ONCC,2020/08/12 22:44:59,2020/08/12 00:59:59,2020/08/12 22:44:59,F,Type 3 IC,GOLD,5 miles south of the town of Adin on Hwy 139,WF,FI,41.063783,-120.76155,,,{E180DEC7-DA19-459B-9727-B2AE2C2BE0DE},,0,1.0,0.0,0,0.0,0.0,0.0,1,3917,1608600415763,100.0,100.0,Adin,Lassen,CAMICC,6035,FS,CAMDF,,USFS,Federal,,,,,,,NC06,,CALMU,US-CA,,,Timber (Grass and Understory),Timber (Litter and Understory),4.0,2020-CALMU-003917,Approved Decision,IROC,cfcad,,,,Type 2 Incident,2020/08/02 18:54:47,{9EBED166-05E7-4C9D-A8FB-A9AB50FB45C7},2020/12/22 01:26:55,2020/07/20 19:42:45
11,-117.8848,34.17881,178113,,DEFAULT,216.4084,,,1596141182413,0.1,125.0,CAANCC,,,,Minimal,Smoldering,Torching,Spotting,Unknown,,,NCB8,,2020/07/30 20:26:00,Type 4 Incident,,0.0,100.0,0.0,0.0,,,OSCC,2020/08/07 00:30:00,2020/08/04 12:59:59,2020/08/07 00:30:00,F,Type 4 IC,DAM,San Gabriel Canyon near Morris Dam,WF,FI,34.17698,-117.883,,,{CA55F7D5-9C4C-4901-AFE4-6D8B24039E39},,0,0.0,0.0,0,0.0,1.0,0.0,1,3063,1609628076127,95.0,100.0,Azusa,Los Angeles,CAANCC,6037,,,,Private,Private,,,,,,,SC09,FS,CAANF,US-CA,,,Chaparral (6 feet),,95.0,2020-CAANF-003063,Approved Decision,wildcad,wildcad,,,,Type 5 Incident,2020/08/28 21:47:40,{449451F7-D3D8-4035-9213-D1478AF23958},2021/01/02 22:54:36,2020/07/30 20:33:02
12,-116.825301,32.669882,179691,,DEFAULT,,,,1596764090090,,0.1,CAMVIC,,,,,,,,Unknown,,,,,2020/08/07 01:34:46,,,,,,,,,OSCC,,,,,,HONEY 2,,WF,FI,32.669882,-116.825301,,,{E1F87DA7-3AF9-4677-AB48-3DB82172C3D7},,0,,,0,,,,1,11716,1609627031543,,,,San Diego,CAMVIC,6073,,,,Private,Private,,,,,,,SC08,CDF,CAMVU,US-CA,,,,,,2020-CAMVU-011716,No Decision,cfcad,cfcad,,,,,,{8E9B8389-F714-472B-9450-03FF407A329C},2021/01/02 22:37:11,2020/08/07 01:34:50
13,-116.871004,32.711022,179695,,DEFAULT,,,,1596764433487,,0.1,CAMVIC,,,,,,,,Unknown,,,,,2020/08/07 01:40:30,,,,,,,,,OSCC,,,,,,HILLSIDE,,WF,FI,32.711022,-116.871004,,,{8B298B06-693F-418E-8CBF-5E352689F19E},,0,,,0,,,,1,11717,1609627024217,,,,San Diego,CAMVIC,6073,,,,Private,Private,,,,,,,SC08,CDF,CAMVU,US-CA,,,,,,2020-CAMVU-011717,No Decision,cfcad,cfcad,,,,,,{3A8E0AD1-2D01-47A2-B8C5-193CA2FD86FE},2021/01/02 22:37:04,2020/08/07 01:40:33
14,-121.49799999999999,39.5605,182113,,DEFAULT,,,,1597688877413,927.0,0.1,CABTCC,,,,Minimal,Backing,Running,Short-range Spotting,Unknown,,,NF27,,2020/08/17 18:27:55,Type 3 Incident,,0.0,100.0,0.0,0.0,,,ONCC,2020/08/20 03:00:00,2020/08/20 01:15:00,2020/08/20 03:00:00,F,Type 3 IC,5-4 POTTERS,Kelly Ridge,WF,FI,39.5605,-121.49799999999999,,,{61AA84A0-8E88-4549-B694-BF14DD6E4CD4},,0,1.0,0.0,0,0.0,0.0,0.0,1,9702,1609617705453,98.0,100.0,,Butte,CABTCC,6007,,,,Private,Private,,,,,,,NC05,,CABTU,US-CA,,,Brush (2 feet),Tall Grass (2.5 feet),0.0,2020-CABTU-009702,No Decision,cfcad,cfcad,,,,,,{E3827F87-6FB8-47C4-90C4-19419DC33CDA},2021/01/02 20:01:45,2020/08/17 18:27:57
15,-120.912,39.858270000000005,182196,,DEFAULT,318776.1779,,,1597695669990,318776.0,0.1,CAPNFC,,,,,,,,Natural,Lightning,,,,2020/08/17 19:55:30,,,,,,,,,ONCC,,,,,,Claremont,,WF,FI,39.88496,-120.9423,10.0,2020/08/17 20:28:00,{76D31198-0DB2-4ED3-8A95-85F24964E547},,0,0.0,0.0,0,0.0,0.0,0.0,1,1302,1608658272363,,,,Plumas,CAPNFC,6063,FS,CAPNF,,USFS,Federal,,,,,,,NC07,FS,CAPNF,US-CA,Timber,TL6,,,,2020-CAPNF-001302,Approved Decision,wildcad,INFORM_Inspector,,,,Type 5 Incident,2020/12/05 20:06:11,{A5595A80-E788-4D3C-9800-D81C83CD0D05},2020/12/22 17:31:12,2020/08/17 20:21:09
16,-121.086,39.81111,182368,,DEFAULT,316148.2478,,,1597715118033,12154.0,0.1,CAPNFC,,,,,,,,Natural,Lightning,,NSC8,,2020/08/18 00:04:27,,,,,,,,,ONCC,,,,,,Bear,,WF,FI,39.81113,-121.0537,0.25,2020/08/18 02:00:00,{216A70C8-7064-4E34-BD2D-887C6EC39209},,0,0.0,0.0,0,0.0,0.0,0.0,1,1316,1608657820673,,,,Plumas,CAPNFC,6063,FS,CAPNF,,USFS,Federal,,,,,,,NC07,FS,CAPNF,US-CA,Timber,TL3,,,,2020-CAPNF-001316,Approved Decision,wildcad,INFORM_Inspector,,,,Type 4 Incident,2020/09/21 15:05:55,{435714A6-C27E-4A62-B00F-AAF275B4E0E6},2020/12/22 17:23:40,2020/08/18 01:45:18
17,-121.50216699999999,39.8915,182490,,DEFAULT,,,,1597767913070,,0.1,CABTCC,,,,,,,,Unknown,,,,,2020/08/18 16:25:10,,,,,,,,,ONCC,,,,,,1-11,,WF,FI,39.8915,-121.50216699999999,,,{E4E6001F-4D7B-4BB1-A2FA-88B59C4BA10A},,0,,,0,,,,1,9778,1609621006717,,,,Butte,CABTCC,6007,,,,Private,Private,,,,,,,NC07,,CABTU,US-CA,,,,,,2020-CABTU-009778,No Decision,cfcad,cfcad,,,,,,{E25BC5E2-3FF6-4853-8488-F6269BCF6DC0},2021/01/02 20:56:46,2020/08/18 16:25:13
